pclass,sex,age,sibsp,parch,fare,embarked,survived
3,female,28.4,1,0,22.59,Q,0
3,female,21.5,0,0,11.64,S,0
2,female,40.5,0,0,15.1,C,1
2,male,18.5,0,0,19.89,S,1
2,male,26.8,0,2,32.61,S,1
2,male,31.5,0,0,32.23,S,0
3,female,27.8,1,0,5.76,Q,1
3,male,28.4,1,0,2.99,S,0
3,male,34.2,2,5,4.88,S,0
2,female,28.4,0,0,5.35,C,0
3,female,28.4,3,0,22.18,S,0
3,female,20.3,0,0,3.79,S,1
3,male,13.7,4,0,9.9,S,1
3,male,30.3,0,1,1.0,C,0
3,female,22.5,2,1,3.2,S,0
3,male,22.5,0,4,6.12,C,1
3,female,28.4,1,0,11.93,S,0
3,male,28.9,2,4,5.3,S,1
3,female,28.4,0,1,1.78,S,1
3,male,40.2,0,0,33.98,S,0
3,male,35.6,2,3,14.13,S,0
3,male,10.1,0,0,5.2,S,0
1,male,28.4,1,0,105.41,C,0
2,female,42.4,0,0,7.83,S,1
3,male,37.6,1,0,4.0,S,0
1,female,46.3,1,0,91.07,S,1
3,female,28.9,1,2,14.35,Q,0
1,female,40.2,0,1,196.66,C,1
3,male,15.1,1,0,1.54,S,1
1,female,39.1,0,1,253.58799999999934,C,0
3,female,16.2,0,0,11.3,S,0
3,male,41.0,0,0,17.61,S,1
3,male,19.0,2,1,1.1,Q,0
3,male,22.1,0,0,8.0,Q,0
1,male,28.1,3,0,5.0,Q,1
3,male,28.5,0,5,29.64,C,0
2,female,4.4,1,1,68.28,S,0
3,male,13.6,0,2,3.39,S,0
3,female,11.1,0,0,18.63,C,1
3,male,1.0,5,0,1.0,Q,1
3,male,48.8,1,4,3.8,S,0
3,male,28.4,1,1,4.19,S,0
1,male,28.4,0,0,85.19,S,1
2,female,21.7,0,0,6.79,S,1
2,female,28.4,2,0,9.41,S,1
3,male,36.7,0,1,1.57,S,1
2,male,39.4,0,0,7.68,S,0
1,male,28.4,0,0,179.96,Q,0
3,female,23.9,5,3,2.14,Q,0
3,male,28.4,1,1,40.45,S,1
3,male,28.4,0,3,1.5,S,1
3,male,40.9,1,0,16.5,S,0
3,male,29.2,2,0,1.0,S,0
3,male,37.8,1,0,2.77,C,0
1,male,25.0,0,1,15.93,Q,0
3,male,16.5,1,0,2.01,S,0
3,female,22.5,0,1,53.86,S,0
3,male,40.0,0,0,13.92,S,0
3,male,22.7,0,0,44.33,C,0
1,male,80.0,0,1,35.16,S,1
1,male,40.4,3,0,73.41,S,0
1,female,36.5,0,0,24.7,C,1
1,female,28.4,0,2,223.84,C,0
1,male,28.4,1,0,5.0,C,0
3,female,28.4,3,1,3.06,S,0
2,male,43.9,0,0,14.71,S,1
3,male,40.1,1,0,6.34,S,0
2,male,32.5,2,2,13.72,S,0
2,female,28.4,0,0,8.41,S,0
3,female,51.6,1,0,13.41,Q,0
3,male,28.4,3,0,2.4,Q,1
2,male,18.1,0,0,5.0,S,1
3,female,28.4,0,2,4.85,S,0
3,male,28.4,0,0,1.82,S,1
1,male,26.4,0,0,116.6,S,0
1,female,31.4,0,0,32.55,S,0
3,male,1.0,0,0,6.45,Q,1
3,male,25.2,0,0,8.59,Q,0
1,male,35.1,1,0,21.22,C,0
3,male,42.0,0,1,9.83,C,0
3,female,37.0,1,4,5.59,S,1
1,male,38.9,0,1,9.02,C,1
1,male,38.2,0,1,253.58799999999934,C,0
1,female,42.5,0,0,253.58799999999934,S,1
1,male,53.2,0,1,14.55,S,1
3,male,16.2,0,0,2.14,Q,0
2,female,33.0,1,0,72.83,S,1
1,female,35.0,0,0,15.28,C,1
3,female,21.0,5,0,10.49,C,0
2,female,28.4,1,0,38.79,S,0
1,female,33.6,0,0,87.17,S,1
2,female,21.6,0,0,10.16,Q,0
3,female,23.8,0,0,10.19,S,1
3,female,28.4,0,1,21.98,S,0
3,female,30.2,2,1,2.65,S,0
2,male,23.2,0,0,40.23,S,1
3,male,17.7,0,1,3.63,C,0
2,female,24.1,0,2,5.82,S,1
3,male,16.5,2,1,3.71,S,1
3,male,1.0,0,0,4.59,C,0
3,male,14.1,0,0,5.29,S,1
3,female,10.8,0,0,1.0,C,0
2,male,28.4,1,0,19.39,S,1
1,male,28.4,0,0,11.1,S,1
1,female,67.3,0,0,239.6,S,0
3,male,26.3,1,0,3.61,S,1
3,male,28.4,0,0,3.9,S,0
3,female,35.1,0,0,24.44,C,0
3,female,30.9,0,1,16.69,S,1
3,male,1.0,0,0,19.87,S,0
3,female,33.5,0,0,1.46,S,1
1,male,18.0,0,2,253.58799999999934,S,1
3,female,13.5,1,1,1.76,C,0
2,female,41.9,0,1,32.35,C,0
1,female,26.5,0,0,12.08,C,0
3,male,29.4,0,3,17.22,Q,0
3,female,40.3,1,1,1.0,Q,0
1,female,28.4,0,0,240.04,C,0
1,male,38.2,0,0,132.65,S,1
1,female,25.6,0,0,15.43,C,1
3,female,2.4,1,0,9.43,S,0
3,female,43.9,2,0,41.17,S,0
3,male,15.0,2,0,4.74,S,0
3,female,28.4,0,0,12.08,S,1
2,female,32.4,0,1,39.7,S,0
1,female,28.4,2,1,53.78,S,1
2,male,31.6,2,0,32.1,C,1
3,male,5.1,0,0,1.0,S,0
2,male,26.5,0,0,14.06,S,1
3,male,33.6,0,0,18.02,C,0
2,female,31.2,1,1,16.27,S,0
1,male,49.6,3,2,144.11,C,0
2,female,28.2,1,0,22.04,S,0
3,female,39.4,0,1,16.61,S,0
2,male,1.0,0,1,5.0,S,1
2,female,14.3,0,1,6.09,C,1
1,male,46.7,0,2,231.64,C,1
3,female,31.4,3,0,9.63,S,1
3,female,46.1,0,0,5.88,S,0
3,female,27.2,0,0,4.39,S,0
3,male,6.8,0,0,8.16,C,0
3,male,10.5,0,0,2.31,Q,0
3,male,26.1,0,4,1.97,S,1
3,female,28.6,0,1,6.15,S,0
2,male,28.4,0,1,5.0,S,1
3,male,23.5,1,0,32.38,S,1
3,male,28.4,1,0,16.64,S,0
3,female,9.5,1,1,3.1,S,1
1,male,28.4,3,2,113.58,S,1
3,female,27.7,4,0,4.17,Q,1
3,male,44.9,1,1,11.82,Q,0
3,female,65.0,4,1,1.0,S,1
3,female,35.3,0,4,30.94,S,0
3,male,35.4,0,1,1.02,S,0
1,male,28.4,0,0,72.32,S,1
3,male,31.1,1,5,11.95,Q,0
3,female,28.2,0,0,24.03,S,0
3,male,39.0,0,1,2.04,C,0
3,male,26.9,0,0,1.0,S,1
2,male,1.0,0,0,7.26,S,0
1,male,44.8,1,1,68.74,C,0
2,female,29.7,1,0,14.98,S,0
3,male,22.8,1,0,10.83,S,0
1,male,26.5,0,0,19.7,S,1
2,male,32.2,0,0,35.85,S,1
1,female,35.8,0,0,13.37,S,1
2,male,46.0,0,0,16.21,S,0
3,male,13.1,1,2,12.09,S,0
3,female,21.7,0,0,12.07,Q,1
3,male,29.3,1,0,3.64,C,0
2,female,36.0,0,0,5.24,Q,1
3,female,47.0,2,0,1.0,S,1
2,female,52.0,0,0,52.96,S,1
3,male,26.7,0,2,18.57,S,0
1,male,29.7,0,0,163.28,C,1
3,male,28.4,0,0,2.45,S,0
3,male,1.0,2,0,8.69,S,0
1,male,28.4,0,0,67.14,C,1
2,female,29.4,0,2,11.74,Q,1
1,female,43.7,0,2,86.02,S,0
3,female,28.5,0,0,11.77,S,0
2,male,30.1,0,2,9.82,S,0
1,female,28.4,0,0,6.76,S,1
3,male,18.7,0,0,12.63,S,0
1,female,28.4,0,0,30.3,C,1
3,male,25.7,0,0,20.25,Q,0
1,female,23.0,2,0,10.02,S,1
3,male,19.2,0,1,14.53,C,0
1,male,28.9,0,0,136.79,S,0
1,male,31.8,0,0,230.97,S,1
2,female,28.4,0,0,21.57,S,0
3,male,14.7,2,2,1.0,S,0
3,male,18.8,1,0,14.11,Q,0
1,male,28.4,0,0,95.63,C,0
